03438257n,07893642n,glass,n,champagne,n
03438257n,07891726n,glass,n,wine,n
00334996v,03438257n,break,v,glass,n
03438257n,07886849n,glass,n,beer,n
02876657n,03438257n,bottle,n,glass,n
01170052v,03438257n,drink,v,glass,n
01535246v,03438257n,wash,v,glass,n
01532589v,03438257n,clean,v,glass,n
03438257n,05564590n,glass,n,hand,n
02700867v,03438257n,hold,v,glass,n
00333758v,03438257n,shatter,v,glass,n
00453803v,03438257n,replenish,v,glass,n
00452512v,03438257n,fill,v,glass,n
01974062v,03438257n,raise,v,glass,n
03438257n,10763383n,glass,n,waiter,n
03438257n,07885223n,glass,n,drink,n
01653442v,03438257n,manufacture,v,glass,n
03438257n,13767239n,glass,n,glass,n
03438257n,07900958n,glass,n,sherry,n
03438257n,07901587n,glass,n,liquor,n
03438257n,14879750n,glass,n,quartz_glass,n
03438257n,07881800n,glass,n,beverage,n
01494310v,03438257n,put,v,glass,n
00451648v,03438257n,drain,v,glass,n
02186690v,03438257n,clink,v,glass,n
02881193n,03438257n,bowl,n,glass,n
03438257n,07906284n,glass,n,whiskey,n
02902250n,03438257n,brim,n,glass,n
00333907v,03438257n,shatter,v,glass,n
02230772v,03438257n,pass,v,glass,n
03383948n,03438257n,fork,n,glass,n
01245637v,03438257n,polish,v,glass,n
01500372v,03438257n,set_down,v,glass,n
00449692v,03438257n,empty,v,glass,n
01675963v,03438257n,decorate,v,glass,n
00334996v,14881303n,break,v,glass,n
04188643n,14881303n,sheet,n,glass,n
03932203n,14881303n,piece,n,glass,n
00336260v,14881303n,break,v,glass,n
04589745n,14881303n,window,n,glass,n
04105068n,14881303n,roof,n,glass,n
03221720n,14881303n,door,n,glass,n
02876657n,14881303n,bottle,n,glass,n
02815071n,14881303n,bead,n,glass,n
03959936n,14881303n,plate,n,glass,n
02975212n,14881303n,case,n,glass,n
03882058n,14881303n,panel,n,glass,n
04546855n,14881303n,wall,n,glass,n
04184701n,14881303n,shard,n,glass,n
03593526n,14881303n,jar,n,glass,n
03881893n,14881303n,pane,n,glass,n
01621555v,14881303n,make,v,glass,n
04493505n,14881303n,tube,n,glass,n
14799244n,14881303n,abrasive,n,glass,n
01264283v,14881303n,coat,v,glass,n
04362025n,14881303n,surface,n,glass,n
03390983n,14881303n,frame,n,glass,n
02881193n,14881303n,bowl,n,glass,n
00286008v,14881303n,stain,v,glass,n
03692676n,14881303n,louver,n,glass,n
02629535v,14881303n,incorporate,v,glass,n
02748927v,14881303n,adorn,v,glass,n
03309465n,14881303n,eyepiece,n,glass,n
14594174n,14881303n,plexiglass,n,glass,n
00477247v,14881303n,blow,v,glass,n
02815600n,14881303n,beads,n,glass,n
02933112n,14881303n,cabinet,n,glass,n
00333907v,14881303n,shatter,v,glass,n
14773022n,14881303n,basalt,n,glass,n
00333758v,14881303n,shatter,v,glass,n
00286928v,14881303n,tint,v,glass,n
00143338v,14881303n,draw,v,glass,n
01653442v,14881303n,manufacture,v,glass,n
00335923v,14881303n,smash,v,glass,n
04272054n,14881303n,spectacles,n,glass,n
00444629v,14881303n,melt,v,glass,n
00337903v,14881303n,splinter,v,glass,n
00303056v,14881303n,anneal,v,glass,n
11473954n,14881303n,light,n,glass,n
13899404n,14881303n,ball,n,glass,n
05696425n,14881303n,substitute,n,glass,n
03783430n,14881303n,monocle,n,glass,n
03464467n,14881303n,guard,n,glass,n
00283911v,14881303n,color,v,glass,n
01675963v,14881303n,decorate,v,glass,n
09974648n,14881303n,craftsman,n,glass,n
02469274v,14881303n,splinter,v,glass,n
01466543v,14881303n,dress,v,glass,n
04522168n,14881303n,vase,n,glass,n
00935247n,14881303n,ceramics,n,glass,n
05311054n,14881303n,eye,n,glass,n
01238640v,14881303n,knock,v,glass,n
04134632n,14881303n,sandglass,n,glass,n
00577689v,14881303n,opacify,v,glass,n
00337234v,14881303n,crack,v,glass,n
14866889n,14881303n,fiber,n,glass,n
04297750n,14881303n,stained-glass_window,n,glass,n
03656484n,14881303n,lens,n,glass,n
00334649v,14881303n,smash,v,glass,n
